Departamento;Municipio;EstadoVictima;AnoHecho;MesOCurrencia;DiaOcurrencia;TipoVehiculoGrupo;TipoServicio;CondicionVictima;ActorVial;UsuarioVia;Zona;ObjetoColision;EsCapital;Rango3horas;Rango6horas;Sexo;RangoEdad;EstadoVia;ActividadVictima;CausaMuerte;ClaseAccidente;CondicionLugar;Hipotesis;DiagnosticoTopografico;Muerte30Dias;TipoRegistro;TotalRegistros
CUNDINAMARCA;CHIPAQUE;MUERTOS;2021;02.FEBRERO;7.DOMINGO;NA;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;RURAL;SIN INFO.;NO;18:00 A 20:59;18:00 A 23:59;HOMBRE;[25,30);0;ACTIVIDADES DE DESPLAZAMIENTO DE UN LUGAR A OTRO;CONTUNDENTE;SIN INFORMACIÓN;0;SIN INFORMACIÓN;TRAUMA DE TÓRAX;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOYACA;SUTAMARCHAN;MUERTOS;2026;03.MARZO;5.VIERNES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;NO APLICA;NO;18:00 A 20:59;18:00 A 23:59;HOMBRE;[40,45);BUENO;ACTIVIDADES DE DESPLAZAMIENTO DE UN LUGAR A OTRO;CONTUNDENTE;VOLCAMIENTO;NORMAL;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
TOLIMA;HONDA;MUERTOS;2026;03.MARZO;1.LUNES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;RURAL;TRANSPORTE INDIVIDUAL;NO;-1;-1;HOMBRE;[70,75);BUENO;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NORMAL;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;ZARZAL;MUERTOS;2024;03.MARZO;6.SÁBADO;BICICLETA;NO APLICA;CONDUCTOR;USUARIO DE BICICLETA;USUARIO DE BICICLETA;RURAL;TRANSPORTE INDIVIDUAL;NO;-1;-1;HOMBRE;[60,65);BUENO;ACTIVIDADES RELACIONADAS CON LOS DEPORTES Y EL EJERCICIO FÍSICO;CONTUNDENTE;CHOQUE;NORMAL;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CALDAS;NEIRA;MUERTOS;2021;01.ENERO;5.VIERNES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;TRANSPORTE DE CARGA;NO;03:00 A 05:59;00:00 A 05:59;HOMBRE;[20,25);SIN INFORMACIÓN;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA DE MIEMBROS;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CESAR;AGUACHICA;MUERTOS;2022;02.FEBRERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;OBJETO FIJO;NO;18:00 A 20:59;18:00 A 23:59;HOMBRE;[45,50);BUENO;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NORMAL;EXCESO DE VELOCIDAD;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOYACA;TOGUI;MUERTOS;2025;01.ENERO;5.VIERNES;MOTOCICLETA;PARTICULAR;PASAJERO;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;NO APLICA;NO;-1;-1;HOMBRE;[00,05);CON HUECOS;SIN INFORMACIÓN;CONTUNDENTE;VOLCAMIENTO;NORMAL;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOGOTA DC;BOGOTA;MUERTOS;2021;02.FEBRERO;5.VIERNES;BICICLETA;NO APLICA;CONDUCTOR;USUARIO DE BICICLETA;USUARIO DE BICICLETA;URBANA;MOTOCICLETA;SI;09:00 A 11:59;06:00 A 11:59;HOMBRE;[80,85);SIN INFORMACIÓN;OTRA;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
NORTE SANTANDER;LOS PATIOS;MUERTOS;2026;02.FEBRERO;3.MIÉRCOLES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;OBJETO FIJO;NO;21:00 A 23:59;18:00 A 23:59;HOMBRE;[20,25);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
MAGDALENA;SANTA MARTA;MUERTOS;2025;01.ENERO;1.LUNES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;MOTOCICLETA;SI;-1;-1;HOMBRE;[70,75);BUENO;SIN INFORMACIÓN;CORTOCONTUNDENTE;ATROPELLO;NORMAL;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
