Departamento;Municipio;EstadoVictima;AnoHecho;MesOCurrencia;DiaOcurrencia;TipoVehiculoGrupo;TipoServicio;CondicionVictima;ActorVial;UsuarioVia;Zona;ObjetoColision;EsCapital;Rango3horas;Rango6horas;Sexo;RangoEdad;EstadoVia;ActividadVictima;CausaMuerte;ClaseAccidente;CondicionLugar;Hipotesis;DiagnosticoTopografico;Muerte30Dias;TipoRegistro;TotalRegistros
META;VILLAVICENCIO;MUERTOS;2025;03.MARZO;1.LUNES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;NO APLICA;SI;-1;-1;HOMBRE;[15,20);BUENO;ACTIVIDADES VITALES O RELACIONADAS CON EL CUIDADO PERSONAL;CONTUNDENTE;VOLCAMIENTO;NORMAL;DESOBEDECER SEÑALES DE TRÁNSITO;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
MAGDALENA;SANTA MARTA;MUERTOS;2024;01.ENERO;5.VIERNES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;NO APLICA;SI;18:00 A 20:59;18:00 A 23:59;HOMBRE;[30,35);BUENO;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;VOLCAMIENTO;NORMAL;EXCESO DE VELOCIDAD;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;CALI;MUERTOS;2024;02.FEBRERO;4.JUEVES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;TRANSPORTE INDIVIDUAL;SI;03:00 A 05:59;00:00 A 05:59;HOMBRE;[40,45);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOGOTA DC;BOGOTA;MUERTOS;2024;03.MARZO;3.MIÉRCOLES;BICICLETA;NO APLICA;CONDUCTOR;USUARIO DE BICICLETA;USUARIO DE BICICLETA;URBANA;MOTOCICLETA;SI;-1;-1;HOMBRE;[30,35);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;CALI;MUERTOS;2025;02.FEBRERO;1.LUNES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;MOTOCICLETA;SI;-1;-1;HOMBRE;[40,45);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CESAR;BECERRIL;MUERTOS;2024;01.ENERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;ANIMAL EN VIA;NO;-1;-1;HOMBRE;[60,65);BUENO;ACTIVIDADES DE DESPLAZAMIENTO DE UN LUGAR A OTRO;CONTUNDENTE;CHOQUE;NORMAL;EXCESO DE VELOCIDAD;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CALDAS;RIOSUCIO;MUERTOS;2024;03.MARZO;3.MIÉRCOLES;TRANSPORTE INDIVIDUAL;PARTICULAR;PASAJERO;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;RURAL;TRANSPORTE DE CARGA;NO;18:00 A 20:59;18:00 A 23:59;HOMBRE;[10,15);BUENO;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NORMAL;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
QUINDIO;PIJAO;MUERTOS;2021;02.FEBRERO;5.VIERNES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;MOTOCICLETA;NO;-1;-1;HOMBRE;[50,55);BUENO;OTRA;CONTUNDENTE;CHOQUE;LLUVIA;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ATLANTICO;BARRANQUILLA;MUERTOS;2021;02.FEBRERO;1.LUNES;MOTOCICLETA;SIN INFORMACIÓN;PASAJERO;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;OBJETO FIJO;SI;18:00 A 20:59;18:00 A 23:59;MUJER;[65,70);SIN INFORMACIÓN;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;CACERES;MUERTOS;2025;02.FEBRERO;2.MARTES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;RURAL;MOTOCICLETA;NO;-1;-1;HOMBRE;[70,75);BUENO;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NORMAL;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
TOLIMA;PURIFICACION;MUERTOS;2022;01.ENERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;OBJETO FIJO;NO;-1;-1;HOMBRE;[40,45);SIN INFORMACIÓN;ACTIVIDADES DE TRABAJO DOMÉSTICO NO PAGADO PARA EL USO DEL PROPIO HOGAR;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;EXCESO DE VELOCIDAD;TRAUMA DE TÓRAX;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;MEDELLIN;MUERTOS;2025;03.MARZO;1.LUNES;MOTOCICLETA;PARTICULAR;PASAJERO;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;MOTOCICLETA;SI;-1;-1;HOMBRE;[20,25);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
SANTANDER;LANDAZURI;MUERTOS;2022;03.MARZO;3.MIÉRCOLES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;OBJETO FIJO;NO;-1;-1;HOMBRE;[40,45);BUENO;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NORMAL;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
META;VILLAVICENCIO;MUERTOS;2024;03.MARZO;5.VIERNES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;TRANSPORTE DE PASAJEROS;SI;-1;-1;HOMBRE;[40,45);SIN INFORMACIÓN;ACTIVIDADES VITALES O RELACIONADAS CON EL CUIDADO PERSONAL;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;CARTAGO;MUERTOS;2021;02.FEBRERO;4.JUEVES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;OBJETO FIJO;NO;-1;-1;HOMBRE;[65,70);SIN INFORMACIÓN;OTRA;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;LA CEJA;MUERTOS;2024;03.MARZO;1.LUNES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;NO APLICA;NO;-1;-1;MUJER;[15,20);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;VOLCAMIENTO;NORMAL;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOGOTA DC;BOGOTA;MUERTOS;2026;03.MARZO;4.JUEVES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;OBJETO FIJO;SI;21:00 A 23:59;18:00 A 23:59;HOMBRE;[20,25);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;SIN INFORMACIÓN;DESOBEDECER SEÑALES DE TRÁNSITO;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CESAR;CHIMICHAGUA;MUERTOS;2022;03.MARZO;4.JUEVES;TRANSPORTE DE CARGA;PÚBLICO;CONDUCTOR;USUARIO DE VEHÍCULO;USUARIO T.CARGA;RURAL;TRANSPORTE DE CARGA;NO;18:00 A 20:59;18:00 A 23:59;HOMBRE;[30,35);BUENO;ACTIVIDADES RELACIONADAS CON EL TRABAJO REMUNERADO;CONTUNDENTE;CHOQUE;NORMAL;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
TOLIMA;IBAGUE;MUERTOS;2021;01.ENERO;5.VIERNES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;RURAL;TRANSPORTE INDIVIDUAL;SI;-1;-1;HOMBRE;[20,25);BUENO;OTRA;CONTUNDENTE;ATROPELLO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;MEDELLIN;MUERTOS;2024;02.FEBRERO;1.LUNES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;MOTOCICLETA;SI;15:00 A 17:59;12:00 A 17:59;HOMBRE;[30,35);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA DE ABDOMEN;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
RISARALDA;DOSQUEBRADAS;MUERTOS;2022;03.MARZO;3.MIÉRCOLES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;MOTOCICLETA;NO;-1;-1;HOMBRE;[90,95);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;PALMIRA;MUERTOS;2021;02.FEBRERO;6.SÁBADO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;OBJETO FIJO;NO;-1;-1;MUJER;[30,35);BUENO;OTRA;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ATLANTICO;BARRANQUILLA;MUERTOS;2021;01.ENERO;5.VIERNES;MOTOCICLETA;SIN INFORMACIÓN;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;MOTOCICLETA;SI;-1;-1;HOMBRE;[75,80);SIN INFORMACIÓN;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ATLANTICO;BARRANQUILLA;MUERTOS;2026;03.MARZO;2.MARTES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;TRANSPORTE DE PASAJEROS;SI;-1;-1;HOMBRE;[55,60);BUENO;ACTIVIDADES DE TIEMPO LIBRE;CONTUNDENTE;ATROPELLO;NORMAL;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOLIVAR;CARTAGENA;MUERTOS;2025;03.MARZO;5.VIERNES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;TRANSPORTE INDIVIDUAL;SI;-1;-1;HOMBRE;[30,35);BUENO;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NORMAL;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CUNDINAMARCA;FUSAGASUGA;MUERTOS;2025;03.MARZO;6.SÁBADO;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;TRANSPORTE DE CARGA;NO;-1;-1;HOMBRE;[60,65);BUENO;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NORMAL;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
NORTE SANTANDER;OCANA;MUERTOS;2025;01.ENERO;3.MIÉRCOLES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;TRANSPORTE DE CARGA;NO;21:00 A 23:59;18:00 A 23:59;MUJER;[30,35);BUENO;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NORMAL;TRANSITAR ENTRE VEHÍCULOS;TRAUMA DE ABDOMEN;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOGOTA DC;BOGOTA;MUERTOS;2026;01.ENERO;6.SÁBADO;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;TRANSPORTE DE PASAJEROS;SI;18:00 A 20:59;18:00 A 23:59;HOMBRE;[40,45);SIN INFORMACIÓN;ACTIVIDADES RELACIONADAS CON EL TRABAJO REMUNERADO;CONTUNDENTE;ATROPELLO;SIN INFORMACIÓN;EXCESO DE VELOCIDAD;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
NARINO;TANGUA;MUERTOS;2022;02.FEBRERO;4.JUEVES;TRANSPORTE DE PASAJEROS;PÚBLICO;PASAJERO;USUARIO DE VEHÍCULO;USUARIO T.PASAJEROS;URBANA;NO APLICA;NO;09:00 A 11:59;06:00 A 11:59;HOMBRE;[05,10);BUENO;SIN INFORMACIÓN;CONTUNDENTE;VOLCAMIENTO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CAQUETA;SAN VICENTE DEL CAGUAN;MUERTOS;2024;03.MARZO;1.LUNES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;OBJETO FIJO;NO;00:00 A 02:59;00:00 A 05:59;HOMBRE;[25,30);BUENO;ACTIVIDADES DE TRABAJO DOMÉSTICO NO PAGADO PARA EL USO DEL PROPIO HOGAR;CONTUNDENTE;CHOQUE;NORMAL;EXCESO DE VELOCIDAD;TRAUMA DE CUELLO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
HUILA;GARZON;MUERTOS;2025;01.ENERO;1.LUNES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;URBANA;MOTOCICLETA;NO;-1;-1;HOMBRE;[10,15);BUENO;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NORMAL;EXCESO DE VELOCIDAD;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOGOTA DC;BOGOTA;MUERTOS;2025;03.MARZO;3.MIÉRCOLES;TRANSPORTE INDIVIDUAL;PÚBLICO;CONDUCTOR;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;URBANA;TRANSPORTE INDIVIDUAL;SI;18:00 A 20:59;18:00 A 23:59;HOMBRE;[60,65);SIN INFORMACIÓN;ACTIVIDADES DE DESPLAZAMIENTO DE UN LUGAR A OTRO;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOYACA;TUNJA;MUERTOS;2022;03.MARZO;6.SÁBADO;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;RURAL;TRANSPORTE INDIVIDUAL;SI;-1;-1;HOMBRE;[40,45);BUENO;SIN INFORMACIÓN;CONTUNDENTE;ATROPELLO;NORMAL;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;CANDELARIA;MUERTOS;2023;03.MARZO;5.VIERNES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;TRANSPORTE DE CARGA;NO;21:00 A 23:59;18:00 A 23:59;HOMBRE;[35,40);BUENO;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NORMAL;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CUNDINAMARCA;TOPAIPI;MUERTOS;2023;03.MARZO;6.SÁBADO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;OBJETO FIJO;NO;-1;-1;HOMBRE;[35,40);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CAUCA;MORALES;MUERTOS;2024;01.ENERO;3.MIÉRCOLES;TRANSPORTE INDIVIDUAL;PARTICULAR;PASAJERO;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;RURAL;SIN INFO.;NO;-1;-1;HOMBRE;[20,25);SIN INFORMACIÓN;ACTIVIDADES DE DESPLAZAMIENTO DE UN LUGAR A OTRO;CONTUNDENTE;SIN INFORMACIÓN;NS / NR Ó SIN INFORMACIÓN;DESOBEDECER SEÑALES DE TRÁNSITO;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CORDOBA;CIENAGA ORO;MUERTOS;2023;02.FEBRERO;1.LUNES;BICITAXI;NO APLICA;PASAJERO;USUARIO OTROS;USUARIO DE OTROS;URBANA;TRANSPORTE DE CARGA;NO;18:00 A 20:59;18:00 A 23:59;MUJER;[30,35);BUENO;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NORMAL;EXCESO DE VELOCIDAD;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
VALLE DEL CAUCA;CALI;MUERTOS;2026;02.FEBRERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;NO APLICA;SI;-1;-1;HOMBRE;[25,30);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;VOLCAMIENTO;SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CUNDINAMARCA;SIBATE;MUERTOS;2021;02.FEBRERO;4.JUEVES;NA;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;RURAL;SIN INFO.;NO;-1;-1;HOMBRE;[35,40);0;OTRA;CONTUNDENTE;SIN INFORMACIÓN;0;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;2
CORDOBA;SAHAGUN;MUERTOS;2022;01.ENERO;3.MIÉRCOLES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;TRANSPORTE INDIVIDUAL;NO;-1;-1;HOMBRE;[55,60);BUENO;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;CHOQUE;NORMAL;EXCESO DE VELOCIDAD;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
NORTE SANTANDER;CUCUTA;MUERTOS;2026;02.FEBRERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;OBJETO FIJO;SI;-1;-1;HOMBRE;[25,30);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;NO;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
TOLIMA;VENADILLO;MUERTOS;2023;01.ENERO;7.DOMINGO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;SIN INFORMACIÓN;OBJETO FIJO;NO;-1;-1;HOMBRE;[30,35);BUENO;ACTIVIDADES RELACIONADAS CON LA ASISTENCIA A EVENTOS CULTURALES, DE ENTRETENIMIENTO Y/O DEPORTIVOS;CONTUNDENTE;CHOQUE;NORMAL;ADELANTAR INVADIENDO CARRIL DE SENTIDO CONTRARIO;TRAUMA DE TÓRAX;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CUNDINAMARCA;LA CALERA;MUERTOS;2022;01.ENERO;1.LUNES;TRANSPORTE INDIVIDUAL;PARTICULAR;CONDUCTOR;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;URBANA;NO APLICA;NO;15:00 A 17:59;12:00 A 17:59;HOMBRE;[55,60);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;VOLCAMIENTO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CAQUETA;VALPARAISO;MUERTOS;2026;03.MARZO;4.JUEVES;NO APLICA;NO APLICA;PEATÓN;PEATÓN;PEATÓN;RURAL;MOTOCICLETA;NO;-1;-1;HOMBRE;[65,70);BUENO;ACTIVIDADES DE TRABAJO DOMÉSTICO NO PAGADO PARA EL USO DEL PROPIO HOGAR;CONTUNDENTE;ATROPELLO;NORMAL;SIN INFORMACIÓN;TRAUMA DE TÓRAX;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CASANARE;VILLANUEVA;MUERTOS;2026;01.ENERO;4.JUEVES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;ANIMAL EN VIA;NO;-1;-1;HOMBRE;[60,65);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
BOGOTA DC;BOGOTA;MUERTOS;2021;02.FEBRERO;1.LUNES;TRANSPORTE INDIVIDUAL;PARTICULAR;PASAJERO;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;URBANA;OBJETO FIJO;SI;-1;-1;MUJER;[15,20);BUENO;OTRA;CONTUNDENTE;CHOQUE;NORMAL;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
ANTIOQUIA;SAN ANDRES;MUERTOS;2025;01.ENERO;5.VIERNES;TRANSPORTE INDIVIDUAL;SIN INFORMACIÓN;PASAJERO;USUARIO DE VEHÍCULO;USUARIO DE V.INDIVIDUAL;RURAL;NO APLICA;NO;-1;-1;MUJER;[45,50);SIN INFORMACIÓN;SIN INFORMACIÓN;CONTUNDENTE;CAÍDA DEL VEHÍCULO A UN PRECIPICIO;NS / NR Ó SIN INFORMACIÓN;SIN INFORMACIÓN;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
CUNDINAMARCA;CARMEN CARUPA;MUERTOS;2024;03.MARZO;6.SÁBADO;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;SIN INFORMACIÓN;NO APLICA;NO;-1;-1;HOMBRE;[35,40);BUENO;SIN INFORMACIÓN;CONTUNDENTE;VOLCAMIENTO;NORMAL;EXCESO DE VELOCIDAD;POLITRAUMATISMO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
SANTANDER;CIMITARRA;MUERTOS;2023;02.FEBRERO;1.LUNES;MOTOCICLETA;PARTICULAR;CONDUCTOR;USUARIO DE MOTO;USUARIO DE MOTO;RURAL;TRANSPORTE DE PASAJEROS;NO;-1;-1;HOMBRE;[45,50);BUENO;SIN INFORMACIÓN;CONTUNDENTE;CHOQUE;NORMAL;SIN INFORMACIÓN;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
TOLIMA;ESPINAL;MUERTOS;2025;03.MARZO;7.DOMINGO;MOTOCICLETA;PARTICULAR;PASAJERO;USUARIO DE MOTO;USUARIO DE MOTO;URBANA;MOTOCICLETA;NO;03:00 A 05:59;00:00 A 05:59;MUJER;[15,20);BUENO;ACTIVIDADES DE TRABAJO DOMÉSTICO NO PAGADO PARA EL USO DEL PROPIO HOGAR;CONTUNDENTE;CHOQUE;NORMAL;DESOBEDECER SEÑALES DE TRÁNSITO;TRAUMA CRANEANO;SI;VERSION PARCIAL AL ULTIMO MES CARGADO DEL AÑO EN CURSO;1
